"Total Residential Sales In And Out Of Priority Funding Areas For Maryland's Jurisdictions, 2017-2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sales,,,,,,,,INPFA,,,,,,,,OUTPFA,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024
,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total 
Jurisdictions,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales
Charles County,"$315,000","$320,000","$325,000","$350,000","$380,000","$414,980","$415,000","$436,000","$295,063","$295,000","$308,130","$327,950","$350,000","$390,000","$390,000","$406,000","$380,625 ","$387,450 ","$388,000 ","$415,000 ","$477,659 ","$525,000 ","$510,000 ","$520,000 "
St. Mary's County,"$290,000","$285,000","$292,000","$320,000","$345,000","$365,000","$390,000","$410,000","$279,900","$273,000","$275,000","$305,000","$327,500","$350,000","$370,000","$387,745","$317,475 ","$315,750 ","$319,000 ","$339,900 ","$374,900 ","$389,000 ","$415,000 ","$439,050 "
,,,,,,,,,,,,,,,,,,,,,,,,
WESTERN MARYLAND REGION,"$186,000","$194,950","$195,000","$215,200","$230,000","$250,000","$265,000","$285,000","$171,500","$179,000","$179,700","$195,000","$209,000","$231,000","$242,000","$260,000","$282,000 ","$272,500 ","$279,900 ","$320,000 ","$365,000 ","$375,500 ","$392,300 ","$425,000 "
Allegany County,"$104,950","$108,000","$108,250","$115,000","$125,000","$130,000","$133,000","$155,000","$103,000","$105,000","$106,900","$114,500","$120,500","$128,000","$130,000","$151,375","$115,000 ","$164,777 ","$136,000 ","$140,000 ","$174,500 ","$175,000 ","$182,500 ","$224,500 "
Garrett County,"$290,000","$275,000","$250,000","$325,000","$395,000","$399,000","$385,000","$410,000","$221,500","$225,000","$169,500","$229,000","$233,000","$250,000","$250,000","$267,500","$330,000 ","$300,000 ","$293,000 ","$384,300 ","$472,500 ","$467,000 ","$459,500 ","$499,000 "
Washington County,"$205,000","$214,000","$222,000","$235,000","$249,000","$286,000","$304,450","$314,995","$192,688","$200,000","$210,000","$224,900","$240,000","$280,000","$293,250","$300,000","$275,000 ","$275,000 ","$287,700 ","$305,000 ","$330,000 ","$350,000 ","$386,250 ","$425,000 "
,,,,,,,,,,,,,,,,,,,,,,,,
UPPER EASTERN SHORE REGION,"$269,900","$268,000","$270,000","$300,000","$324,000","$335,000","$373,500","$395,000","$242,250","$245,000","$242,944","$268,000","$290,250","$305,000","$344,000","$369,999","$315,000 ","$314,000 ","$315,000 ","$362,000 ","$375,000 ","$400,000 ","$425,000 ","$449,900 "
Caroline County,"$195,000","$202,500","$209,900","$229,900","$258,850","$275,000","$293,160","$310,000","$165,000","$176,900","$178,300","$189,000","$230,450","$240,000","$260,000","$270,250","$229,450 ","$242,950 ","$250,000 ","$260,000 ","$295,000 ","$319,500 ","$323,100 ","$350,000 "
Cecil County,"$235,460","$240,000","$240,000","$260,000","$279,900","$295,500","$330,000","$350,000","$215,000","$214,700","$215,000","$230,000","$249,900","$268,765","$286,000","$315,000","$285,500 ","$281,000 ","$279,900 ","$320,000 ","$336,000 ","$360,000 ","$400,000 ","$385,000 "
Kent County,"$232,000","$245,000","$239,500","$260,000","$265,000","$310,000","$314,990","$335,000","$210,000","$230,000","$222,500","$226,000","$245,000","$275,000","$304,995","$310,000","$319,000 ","$295,000 ","$337,500 ","$322,500 ","$350,000 ","$472,500 ","$450,000 ","$467,500 "
Queen Anne's County,"$338,500","$345,000","$349,900","$389,000","$408,500","$439,805","$499,950","$552,640","$339,950","$330,000","$335,000","$366,750","$405,301","$435,000","$495,823","$555,500","$338,000 ","$365,000 ","$375,000 ","$425,000 ","$415,000 ","$445,000 ","$504,250 ","$549,900 "
Talbot County,"$319,500","$316,000","$345,000","$384,500","$392,000","$400,000","$440,000","$450,000","$280,000","$285,000","$305,000","$324,900","$345,000","$360,000","$401,750","$401,000","$575,000 ","$512,000 ","$500,000 ","$600,000 ","$669,000 ","$640,000 ","$591,000 ","$710,000 "
,,,,,,,,,,,,,,,,,,,,,,,,
LOWER EASTERN SHORE REGION,"$207,000","$210,000","$220,000","$236,500","$269,500","$298,000","$310,000","$320,000","$205,000","$210,000","$218,000","$239,000","$270,925","$299,900","$317,143","$325,000","$214,900 ","$216,450 ","$230,000 ","$230,000 ","$259,900 ","$281,000 ","$285,000 ","$313,500 "
Dorchester County,"$170,000","$185,000","$185,000","$200,000","$237,000","$255,000","$269,990","$274,990","$150,000","$169,000","$158,000","$180,000","$210,000","$245,000","$260,000","$269,990","$210,000 ","$215,900 ","$235,000 ","$245,000 ","$285,000 ","$329,000 ","$310,000 ","$320,000 "
Somerset County,"$140,000","$135,000","$139,900","$156,000","$185,000","$200,355","$199,950","$210,000","$135,000","$127,500","$128,500","$152,000","$179,900","$190,000","$181,450","$195,000","$157,000 ","$175,000 ","$170,000 ","$170,950 ","$199,700 ","$225,000 ","$243,500 ","$272,450 "
Wicomico County,"$165,000","$164,950","$175,000","$186,695","$215,000","$240,000","$240,000","$254,950","$160,000","$160,000","$169,900","$166,240","$193,500","$235,000","$220,000","$234,900","$197,500 ","$189,000 ","$194,000 ","$222,750 ","$245,000 ","$260,000 ","$274,000 ","$292,000 "
Worcester County,"$242,700","$249,950","$252,500","$272,200","$329,900","$385,000","$410,222","$415,000","$240,000","$246,965","$250,000","$270,000","$325,300","$385,000","$420,000","$420,000","$274,900 ","$282,500 ","$289,100 ","$295,000 ","$350,000 ","$348,750 ","$309,500 ","$379,500 "
,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by Maryland Department of Planning, Planning Data Services, September 2025",,,,,,,,,,,,,,,,,,,,,,,,
